SlNo,Year,Life_Expectancy,Tuberculosis,Influenza,Adult_Mortality,Infant_Deaths,Alcohol,Percentage_Expenditure,Hepatitis_B,Measles,Under_Five_Deaths,Polio,Total_Expenditure,Diphtheria,HIV_AIDS,GDP,Population,Thinness_1_19_Years,Thinness_5_9_Years,Income_Composition_Of_Resources,Schooling
27,2006,56.09294848415668,4282,940.725673333625,59.36334747895892,203,2.192643584390122,9.430387871068255,79669,12344,52,90,24868.453235227444,2,19.575740214442224,16.72188590285473,45901551,12.549246377308531,7.15058009986682,0.6992933482866306,22.48529699275231
46,2005,61.51363953325637,0,810.8264276376725,72.69231122148912,3203,3.583837822654817,15.35190412328901,7256,29750,54,55,23513.780430022838,0,3.1849150071576844,12.696827394507197,3455646,1.5093902732175386,9.657484622129287,0.45390475075096687,13.876904151504661
25,1998,77.4587700232355,8037,3887.094027771786,75.47150490870297,98,25.506936020992594,7.89109231107129,12158,18242,41,58,7127.655095752203,0,1.4981511643902796,11.88270057782878,1960991,3.0446297544672714,5.7573174271585925,0.616056702605327,24.70178522708278
75,2003,64.99768986886428,20078,1176.0506847923305,43.809011758846744,288,6.551690086836733,13.182821987120754,7372,19838,59,277,4804.855808211871,0,371.11497229572143,16.94274081105491,44516439,1.9594639499217954,1.438019097756432,0.7347702003512624,20.820049922526618
52,2006,47.50656575784085,7973,2817.1972661694663,77.48030916506247,0,14.494024080796281,14.379165473977038,134836,15776,60,916,19887.725282304185,3,517.2078533848968,12.524771628835067,11405809,2.9096558790823317,8.28205046370012,0.6921636576167793,15.93367013754417
21,2002,50.383865352430334,7062,9.606467750818155,79.41701247175625,0,13.860442013763247,16.16322817850627,176642,1054,29,600,7802.412944368843,0,284.78675341114916,12.06470615032173,34682638,3.8088452676063955,3.1105607393036934,0.6648240155017435,27.929449275796895
26,1996,56.58531590532174,0,2186.052904653558,50.377039697621505,403,12.363439257719905,13.495704608896927,11168,19450,41,152,9802.629155432762,0,281.2469081612293,18.117423254554,29151193,1.5107338110245276,4.29836394222542,0.47196783314798446,13.086732452059335
5,2003,50.367258723578196,5915,4065.279000024352,74.63920506600839,683,11.86934109783289,10.002756879418405,62028,13551,34,195,28207.14097461294,2,1.1232483639330435,9.780526270427739,3845148,3.8444204317016375,6.104539302559798,0.5534803929560241,20.339682172347867
19,1997,53.14455013248018,1838,316.54258680961686,53.98866723167534,0,12.665722015644421,4.100919174305508,16893,41910,38,0,39190.4469010533,0,17.54782609622831,27.531498925908814,11024370,15.285354507775722,5.883048925975839,0.8209767602054279,13.487299872204446
70,1995,43.568614892296324,19038,106.83206193729936,70.67105329001606,0,13.23464741435122,12.497798526596075,10799,20633,51,0,18215.0415357518,0,26.568325663835466,23.00149550502013,24988195,8.331395345896501,4.024501188140035,0.7139186239149595,13.207483333472391
