SlNo,Year,Life_Expectancy,Tuberculosis,Influenza,Adult_Mortality,Infant_Deaths,Alcohol,Percentage_Expenditure,Hepatitis_B,Measles,Under_Five_Deaths,Polio,Total_Expenditure,Diphtheria,HIV_AIDS,GDP,Population,Thinness_1_19_Years,Thinness_5_9_Years,Income_Composition_Of_Resources,Schooling
80,1999.6694755840656,52.466141228550704,6721,631.8030127656018,85.55319346971761,254,14.71915409930101,9.642873952805923,15030.25264975764,28471.035247301592,50.16357955172457,0,4144.533356356518,11,186.0820895223493,35.49909401808267,23731747.954573557,0.7753789175435275,9.39595559379752,0.6472459577709517,14.465607781195294
15,2005.7648249739657,44.880056927246336,0,2645.419729154017,121.99311196048846,0,7.932084817113967,6.930402804668988,31837.77892640225,29917.820201585586,54.30079826579089,509,11806.163395585005,12,2.232605212252183,37.77298588134088,15115654.129044672,2.8613075055522947,16.01679213653156,0.518584059067738,14.524238998185288
73,2002.2859100279884,49.15677641993343,18902,1415.6462644971948,126.46567705208444,0,6.381938767843597,8.996193471545947,29122.450310595854,3026.2793229009326,27.066532210554247,0,13478.285852530984,5,629.0228017092577,23.3397654960494,30450542.19402217,1.3178770867366105,10.275890869773585,0.924975924227394,20.832394004383254
80,2000.2211271416618,91.45276641660593,2219,1907.1341089882371,84.47400566279471,194,0.0,11.964562344831759,3183.4288288522134,17248.71132069881,37.35875245342388,0,24603.096241703504,7,275.31533374503954,21.98936696519581,10875250.914743982,7.121682905638199,2.904409205871408,0.8171024988701776,13.506765826868856
72,2003.7188516664198,46.32725344849955,20509,1167.5685442784477,40.37591302590641,787,0.0,10.17280518045968,24223.73778053183,92035.33294664854,47.12148644603016,1653,4139.156086849702,12,305.841432901128,17.38940964517608,7241915.247891849,23.799597586299793,0.018164503849142498,0.5111040341102668,20.441327166564466
23,2005.0521324102094,78.9585791721918,10527,952.0252712304042,78.67901029595124,3445,7.125524937445926,9.376278169710329,6596.19205116862,34854.47569218879,48.361031539248096,0,1336.789882161352,5,18.651222809403393,13.251653356806445,45166786.048426785,2.28404285437329,9.123351557106423,0.5970493077428991,21.04775749739088
51,2001.8359484323257,57.614083300229495,0,1982.6466484566251,107.91956526313119,2264,0.0,8.340935047593915,18700.64555735736,872.0409999628632,49.586248086168176,15,4607.71289632748,9,6.248727756382716,39.273625765915234,14507580.693021506,1.253028097028741,6.802713605186809,0.8604316609614022,13.471453740500161
23,2004.7822795433387,56.56052266272374,0,89.44675017038537,109.12770962736265,3659,9.732257386523507,5.572447027426091,53840.86127160824,10335.76309674801,45.369546460621166,0,11937.693770825386,0,18.73840536117292,20.46345368595227,8262669.046047732,9.269993665032281,12.700870316839579,0.8433319420519543,22.48610043003343
81,2000.286645414622,90.95502699803194,0,965.4409914506398,87.07730398805941,525,0.0,10.408286320867958,2987.022800182106,5686.567895132069,54.32382912206857,58,1958.8120464460058,4,296.0098961178623,13.91234961095603,14245533.75282362,8.913512011171136,0.2780150836589389,0.48643998606383215,10.712779118386631
39,2005.648026191001,70.00034277843805,0,2494.8652106588747,90.63552723182575,484,20.992713639530802,9.478710650029553,5763.622266182342,7894.785085116778,61.52752418755497,0,4639.847048219589,9,6.353389069262369,20.475987960850468,17508679.10403329,10.85600706193475,17.08106933827518,0.6975449509684637,15.093996377910461
