transaction_id,customer_id,merchant_id,amount,is_fraudulent,customer_age
1.0,684415.0,2028.0,1262.77,0.0,28.0
2.0,447448.0,2046.0,2222.928,0.0,62.0
3.0,975001.0,2067.0,7509.832,0.0,24.0
4.0,976547.0,2048.0,2782.965,0.0,62.0
5.0,935741.0,2044.0,5965.04,0.0,19.0
6.0,774817.0,2001.0,8526.012,1.0,23.0
7.0,957795.0,2026.0,1224.773,0.0,58.0
8.0,266812.0,2094.0,9396.354,0.0,49.0
9.0,401388.0,2035.0,3904.2,0.0,37.0
605.5,602861.0,2035.0,5965.04,0.0,51.0
11.0,903776.0,2025.0,5965.04,0.0,43.0
12.0,620576.0,2042.0,8069.63,0.0,33.0
13.0,787150.0,2026.0,5965.04,1.0,42.0
14.0,523483.0,2068.0,481.95,0.0,29.0
15.0,679113.0,2019.0,11429.747999999998,1.0,24.0
16.0,441188.0,2010.0,10468.106,0.0,56.0
17.0,552098.0,2073.0,10864.872,0.0,34.0
18.0,953752.0,2037.0,14761.674,1.0,62.0
19.0,500558.0,2048.0,15926.13,0.0,28.0
20.0,935897.0,2071.0,2319.39,0.0,43.0
21.0,315005.0,2022.0,2159.85,0.0,40.0
22.0,464958.0,2046.0,6742.186000000001,0.0,44.0
23.0,115377.0,2089.0,4139.73,0.0,43.0
24.0,972563.0,2045.0,10087.944,0.0,23.0
25.0,919876.0,2011.0,10806.276,0.0,55.0
26.0,491228.0,2089.0,3566.54,0.0,19.0
27.0,365016.0,2012.0,2406.86,0.0,39.0
28.0,207435.0,2061.0,7816.23,0.0,37.0
29.0,571808.0,2081.0,5965.04,0.0,42.0
30.0,766497.0,2088.0,14823.017999999998,1.0,32.0
31.0,836156.0,2096.0,4692.820000000001,0.0,66.0
32.0,470802.0,2059.0,7361.332,1.0,46.0
33.0,552098.0,2042.0,1801.044,0.0,25.0
34.0,315537.0,2075.0,9386.1,0.0,54.0
35.0,494874.0,2099.0,4545.09,0.0,66.0
605.5,559002.0,2067.0,9713.1375,1.0,69.0
605.5,859536.0,2004.0,5965.04,0.0,50.0
38.0,663473.0,2036.0,5965.04,0.0,39.0
39.0,771430.0,2071.0,14247.4695,0.0,67.0
605.5,371258.0,2091.0,2206.56,0.0,64.0
41.0,100184.0,2030.0,1002.36,0.0,22.0
42.0,721575.0,2008.0,285.2,0.0,56.0
43.0,652898.0,2050.0,6437.62,1.0,35.0
44.0,344280.0,2028.0,7308.708,0.0,55.0
45.0,928927.0,2077.0,5965.04,1.0,24.0
46.0,775029.0,2039.0,2829.444,0.0,47.0
47.0,685070.0,2040.0,4727.412,0.0,68.0
48.0,552098.0,2085.0,5965.04,1.0,48.0
49.0,732998.0,2010.0,4992.83,0.0,27.0
50.0,760284.0,2022.0,5965.04,1.0,32.0
51.0,488045.0,2000.0,1407.58,1.0,59.0
52.0,202454.0,2045.0,6966.69,1.0,65.0
53.0,105140.0,2020.0,4072.97,0.0,61.0
54.0,146322.0,2089.0,5965.04,0.0,35.0
55.0,367959.0,2035.0,7190.1,0.0,40.0
56.0,256626.0,2053.0,5965.04,1.0,50.0
57.0,735230.0,2086.0,11895.6,1.0,33.0
58.0,103361.0,2056.0,1460.2720000000002,1.0,55.0
59.0,825628.0,2000.0,1628.835,0.0,43.0
60.0,430546.0,2062.0,7982.887000000001,0.0,51.0
61.0,802751.0,2053.0,5804.95,0.0,45.0
62.0,108281.0,2054.0,4166.85,0.0,19.0
63.0,652304.0,2039.0,1386.363,0.0,47.0
64.0,141227.0,2014.0,1488.7949999999998,0.0,30.0
605.5,808232.0,2020.0,13420.8,1.0,58.0
66.0,906548.0,2046.0,2938.62,0.0,33.0
67.0,422454.0,2072.0,5881.590000000001,1.0,22.0
68.0,741800.0,2052.0,2535.753,1.0,45.0
69.0,552098.0,2008.0,6447.978,0.0,56.0
70.0,826079.0,2073.0,1111.155,1.0,62.0
71.0,335778.0,2048.0,7821.960000000001,1.0,37.0
72.0,801702.0,2056.0,722.75,0.0,41.0
73.0,423573.0,2025.0,5965.04,0.0,44.0
74.0,623148.0,2040.0,3563.16,1.0,47.0
75.0,168286.0,2034.0,8948.148000000001,0.0,62.0
76.0,808569.0,2062.0,8806.79,0.0,44.0
77.0,605173.0,2024.0,5965.04,0.0,43.0
78.0,120413.0,2089.0,9635.274,1.0,24.0
79.0,582477.0,2074.0,3277.12,0.0,59.0
80.0,391236.0,2037.0,5965.04,1.0,64.0
81.0,961549.0,2001.0,6711.4,1.0,55.0
82.0,360153.0,2006.0,11930.028,0.0,22.0
605.5,889878.0,2081.0,10948.245,1.0,40.0
84.0,800196.0,2090.0,10079.909999999998,0.0,45.0
85.0,336634.0,2033.0,5965.04,1.0,51.0
86.0,109263.0,2048.0,4678.8,0.0,32.0
87.0,211576.0,2016.0,648.42,0.0,49.0
88.0,843351.0,2042.0,6209.335000000001,0.0,43.0
89.0,588414.0,2058.0,11494.044,0.0,65.0
90.0,531947.0,2050.0,1794.26,0.0,48.0
91.0,852397.0,2053.0,5965.04,1.0,36.0
92.0,552098.0,2023.0,3688.722,0.0,43.0
93.0,370479.0,2024.0,8072.235,0.0,46.0
94.0,472319.0,2070.0,1011.93,1.0,68.0
95.0,379181.0,2051.0,6796.785,0.0,43.0
96.0,116505.0,2069.0,11360.745,0.0,21.0
97.0,246232.0,2087.0,3508.34,0.0,20.0
98.0,159139.0,2032.0,7999.044,0.0,46.0
605.5,665705.0,2048.0,7964.73,0.0,69.0
100.0,703242.0,2028.0,10202.962,0.0,28.0
101.0,327304.0,2062.0,2384.69,1.0,50.0
102.0,268680.0,2021.0,5965.04,0.0,27.0
103.0,300039.0,2025.0,1566.54,0.0,28.0
104.0,108252.0,2027.0,17865.377999999997,1.0,43.0
105.0,536279.0,2084.0,13910.49,1.0,43.0
106.0,445963.0,2048.0,8133.855,0.0,38.0
107.0,768641.0,2070.0,8428.23,0.0,43.0
