transaction_id,customer_id,merchant_id,amount,is_fraudulent,customer_age
396,778686,2085,1533.1334583285923,0,69
938,238257,2077,18030.95799626305,1,47
725,510499,2066,1958.6563361412605,0,59
744,419053,2058,7647.850831930229,1,43
172,465741,2009,4192.560913793337,0,44
35,649787,2013,6341.547649280725,1,62
1005,118594,2094,6739.0368099701955,0,53
762,437309,2021,3236.073751292341,0,64
1002,263985,2056,97.17209676340464,0,69
553,847110,2050,4126.379491562232,0,44
649,152014,2029,5959.777217955919,0,66
863,488505,2049,3988.7002258891785,1,57
518,693792,2008,991.4375728622759,0,67
105,975680,2081,3099.5484707668948,0,41
667,738706,2073,5345.118053619342,0,56
558,493372,2050,9454.057474665415,0,65
921,718364,2089,6888.400777581068,0,54
320,466389,2011,1950.710425620206,1,55
